timestamp_ms,VDD_CAM,VDD_MIF,VDD_INT,VDD_NPU,VDD_BIG,VDD_MID,VDD_LIT
0.0,940.0,600.0,400.0,260.0,380.0,330.0,170.0
1.0,960.0,610.0,405.0,270.0,395.0,340.0,175.0
2.0,980.0,615.0,410.0,275.0,410.0,350.0,180.0
3.0,1000.0,620.0,412.0,280.0,420.0,355.0,182.0
4.0,1010.0,625.0,415.0,285.0,430.0,360.0,185.0
5.0,990.0,618.0,411.0,278.0,415.0,352.0,181.0
6.0,975.0,612.0,408.0,272.0,405.0,347.0,178.0
7.0,1020.0,628.0,418.0,288.0,440.0,365.0,188.0
8.0,1005.0,622.0,414.0,282.0,425.0,358.0,183.0
9.0,985.0,616.0,409.0,276.0,412.0,350.0,179.0
10.0,995.0,619.0,411.0,279.0,418.0,353.0,181.0
11.0,1015.0,626.0,416.0,286.0,435.0,362.0,186.0
