rail                         Voltage  Current(mA)  Power(mW)
B5S4_VDDMIF_AP_L             0.5687   71.1736      43.2099
B3_4_5S2_VDD_CPUCL3_BIG_L    0.0132   30.8666      27.2720
B3_4S3_VDD_CPUCL2_MID_HF_L   0.0357   9.8105       6.0994
B2S3_VDD_CPUCL1_MID_LF1_L    0.4519   71.7686      41.4812
B2S2_VDD_CPUCL1_MID_LF0_L    0.5954   186.0154     114.5246
B5_6S3_VDD_CPUCL0_DSU_L      0.5866   131.1924     78.1507
B4S4_VDD_INT_L               0.6313   157.6934     100.1720
B5_6S1_VDD_CAM_L             0.6077   172.3379     104.7035
L1S3_VDD_ICPU_L              0.7219   26.3182      18.9869
B1_2_3_4S1_VDD_G3D0_0P725_L  0.0111   7.1355       2.3183
B1_2_3E1_VDD_G3D1_0P725_L    0.0112   6.1746       1.8713
B6S4_VDDQ_DRAM_MEM_0P5_T     0.4280   17.8176      7.6751
L5M_VDD1_MEM_L               1.8014   9.8476       17.7384
SRB1S5_VDD2L_MEM_AP_L        0.9108   26.2719      23.9530
SRB1S4_VDD2H_MEM_AP_L        1.0027   58.5969      58.8876
B6S2_VDD_SRAM_L              0.7217   49.3169      35.5985
