run,rail,voltage_v,current_ma,power_mw
1,B5S4_VDDMIF_AP_L,0.5687,70.3296,42.6975
1,B3_4_5S2_VDD_CPUCL3_BIG_L,0.0132,30.5006,26.9486
1,B3_4S3_VDD_CPUCL2_MID_HF_L,0.0357,9.6942,6.0271
1,B2S3_VDD_CPUCL1_MID_LF1_L,0.4519,70.9176,40.9893
1,B2S2_VDD_CPUCL1_MID_LF0_L,0.5954,183.8097,113.1666
1,B5_6S3_VDD_CPUCL0_DSU_L,0.5866,129.6368,77.2240
1,B4S4_VDD_INT_L,0.6313,155.8235,98.9842
1,B5_6S1_VDD_CAM_L,0.6077,170.2944,103.4620
1,L1S3_VDD_ICPU_L,0.7219,26.0061,18.7618
1,B1_2_3_4S1_VDD_G3D0_0P725_L,0.0111,7.0509,2.2908
1,B1_2_3E1_VDD_G3D1_0P725_L,0.0112,6.1014,1.8491
1,B6S4_VDDQ_DRAM_MEM_0P5_T,0.4280,17.6063,7.5841
1,L5M_VDD1_MEM_L,1.8014,9.7308,17.5281
1,SRB1S5_VDD2L_MEM_AP_L,0.9108,25.9604,23.6690
1,SRB1S4_VDD2H_MEM_AP_L,1.0027,57.9021,58.1893
1,B6S2_VDD_SRAM_L,0.7217,48.7321,35.1764
2,B5S4_VDDMIF_AP_L,0.5687,71.1736,43.2099
2,B3_4_5S2_VDD_CPUCL3_BIG_L,0.0132,30.8666,27.2720
2,B3_4S3_VDD_CPUCL2_MID_HF_L,0.0357,9.8105,6.0994
2,B2S3_VDD_CPUCL1_MID_LF1_L,0.4519,71.7686,41.4812
2,B2S2_VDD_CPUCL1_MID_LF0_L,0.5954,186.0154,114.5246
2,B5_6S3_VDD_CPUCL0_DSU_L,0.5866,131.1924,78.1507
2,B4S4_VDD_INT_L,0.6313,157.6934,100.1720
2,B5_6S1_VDD_CAM_L,0.6077,172.3379,104.7035
2,L1S3_VDD_ICPU_L,0.7219,26.3182,18.9869
2,B1_2_3_4S1_VDD_G3D0_0P725_L,0.0111,7.1355,2.3183
2,B1_2_3E1_VDD_G3D1_0P725_L,0.0112,6.1746,1.8713
2,B6S4_VDDQ_DRAM_MEM_0P5_T,0.4280,17.8176,7.6751
2,L5M_VDD1_MEM_L,1.8014,9.8476,17.7384
2,SRB1S5_VDD2L_MEM_AP_L,0.9108,26.2719,23.9530
2,SRB1S4_VDD2H_MEM_AP_L,1.0027,58.5969,58.8876
2,B6S2_VDD_SRAM_L,0.7217,49.3169,35.5985
3,B5S4_VDDMIF_AP_L,0.5687,69.6966,42.3132
3,B3_4_5S2_VDD_CPUCL3_BIG_L,0.0132,30.2261,26.7061
3,B3_4S3_VDD_CPUCL2_MID_HF_L,0.0357,9.6070,5.9729
3,B2S3_VDD_CPUCL1_MID_LF1_L,0.4519,70.2793,40.6204
3,B2S2_VDD_CPUCL1_MID_LF0_L,0.5954,182.1554,112.1481
3,B5_6S3_VDD_CPUCL0_DSU_L,0.5866,128.4701,76.5290
3,B4S4_VDD_INT_L,0.6313,154.4211,98.0933
3,B5_6S1_VDD_CAM_L,0.6077,168.7618,102.5308
3,L1S3_VDD_ICPU_L,0.7219,25.7720,18.5929
3,B1_2_3_4S1_VDD_G3D0_0P725_L,0.0111,6.9874,2.2702
3,B1_2_3E1_VDD_G3D1_0P725_L,0.0112,6.0465,1.8325
3,B6S4_VDDQ_DRAM_MEM_0P5_T,0.4280,17.4478,7.5158
3,L5M_VDD1_MEM_L,1.8014,9.6432,17.3703
3,SRB1S5_VDD2L_MEM_AP_L,0.9108,25.7268,23.4560
3,SRB1S4_VDD2H_MEM_AP_L,1.0027,57.3810,57.6656
3,B6S2_VDD_SRAM_L,0.7217,48.2935,34.8598
